Clean,Mitch's Category
Amsterdam (Netherlands),Place
Anagram bookplates,Type
Anagrams,
Ancona (Italy),
"Anderhub, Jakob Heinrich",
"Anderson, H. P. Quincy, Mrs.",
Andlau (France),
Andre Richart,
Andreae Wecheli Heredes,
"Andreae, Antonius, d. ca. 1320",
"Andreae, Lambert, d. 1597",
"Angeli, Giuseppe degli, fl. 1571-1580",
Angelico Grassi,
Angers (France),Place
"Anguiano, Agustin Lopez de",Person
"Anguillara, Giovanni Andrea dell', ca. 1517-1565",Person
"Anigoni, Prospero",
Anjou (France),Place
Anna Zami[...]ij,
"Annakolleg (Augsburg, Germany)",Place
Annapolis (Md.),
Annibale Lareus,
Annibalis Larei,
Anno von Sangershausen,
Annotated American Black Chamber,
Annotations,
Ansbach (Germany),Place
"Ansbach (Mittelfranken, Germany)",
"Anshelm, Thomas",
"Ansorge, John",
Anstey family,
"Anstey, Christopher, 1680-1751",
"Anthoine, Hubert, fl. 1598-1630",
"Anthony, of Egypt, Saint, ca. 250-355 or 6",
Antigua Librería Babra,
Anti-papal songs,
"Antolini, Patrizio, 1843-1927",Person
"Antoninus Pius, Emperor of Rome, 86-161",
"Antoninus, Saint, Archbishop of Florence, 1389-1459",
Antonius Josephus Calasanctius Kohaut,
"Antonius, Marcus, 83?-30 B.C.",Person
Ants,Animal
Antwerp (Belgium),
Anvers (Belgium),
"Aperger, Andreas, 1598-1658",
"Apiarius, Mathias, approximately 1500-1554",Person
"Apiarius, Samuel, d. 1590",
Apollo,Animal
Apostles,
"Appelius, Philippus",
Approbations,
Apuleius,
"Aquila, Aegidius, 1496-1552",
"Aquila, Laurentius de",
Arachne (Greek mythology),
"Arbib, Lelio",Person
Archdiocese of Cologne (Germany),
"Archdiocese of Mainz (Rhineland-Palatinate, Germany)",
Archdiocese of Trier (Germany),
"Archer, Eleanor",Person
"Archer, Eleanor, 1660-1694",Person
"Archer, John",Person
"Archer, John William, ca. 1621-1682",Person
"Archer, John, 1661-1704",Person
"Archer, John, d. 1704",Person
"Archibald, Jacob",Person
"Archinto, Filippo, 1500-1558",Person
Architectural borders,Type
Archiv der Hansestadt Rostock,
"Ardizzone, Pietro",
"Arenberg, Léopold-Philippe, duc d', 1690-1754",Person
Arezzo (Italy),
Argia,
Argos (Greek mythology),
"Ariel, L",
Arienzo (Italy),Place
Arion,
"Arisi, Francesco, 1657-1743",Person
Aristotle,
"Armand, Honoré",Person
"Armando, Vincenzo, 1858-1928",Person
Armorial bindings,Type
Armorial bookplates,Type
Armorial labels,Type
Armorial stamps,Type
Armorial woodcuts,Type
"Arnaud, Petrus",Person
"Arnoaldi, Giacomo",Person
Arnold Birckmanns Erben,Person
"Arnoldus, Matthias",Person
"Arnolfini, Ottavio",Person
"Arnolfinus, Octavius",Person
"Arnolfinus, Ottavius",Person
"Arnoult, Joseph",Person
"Arpini, Caroli",Person
"Arpino, Carlo",Person
"Arpino, Giacomo Francesco, 1608-1684",Person
"Arrivabene, Andrea, fl. 1534-1570",Person
"Arrivabene, Giampietro, 1439 or 1440-1504",Person
"Arrivabene, Giampietro, 1439 or 40-1504",Person
"Arrivabene, Gian Pietro, 1439 or 1440-1504",Person
"Arrivabene, Gian Pietro, 1439 or 40-1504",Person
"Arrivabene, Giovanni Pietro, 1439 or 1440-1504",Person
"Arrivabene, Giovanni Pietro, 1439 or 40-1504",Person
"Arrivabene, Pietro, 1439 or 40-1504",Person
Art ancien S.A.,
Artemis (Greek deity),
"Artemisia II, of Caria",
"Arvanitidis, George",Person
"Arvanitidis, Georgios",Person
"Asbell, Milton B. (Milton Baron)",Person
Ascanius (Legendary character),
"Aschendorffius, Eberhardus",
"Ascherson, C. S. (Charles Stephen)",
"Asensio, Eugenio",Person
"Ashburner, Walter, 1864-1936",Person
"Ashburner, Walter, 1864-1936‏",Person
